"Country or Area","Year(s)","Variant","Value"
"Ireland","2075","Upper 80 PI","6348.141"
"Ireland","2075","Lower 80 PI","5259.569"
"Ireland","2075","Upper 95 PI","6688.555"
"Ireland","2075","Lower 95 PI","4947.048"
"Ireland","2074","Medium","5765.837"
"Ireland","2074","High","6865.536"
"Ireland","2074","Low","4803.751"
"Ireland","2074","Constant fertility","5855.801"
"Ireland","2074","Instant replacement","6580.564"
"Ireland","2074","Zero migration","5014.26"
"Ireland","2074","Constant mortality","5385.76"
"Ireland","2074","No change","5475.272"
"Ireland","2074","Momentum","5401.717"
"Ireland","2074","Instant replacement zero migration","5763.915"
"Ireland","2074","Median PI","5765.837"
"Ireland","2074","Upper 80 PI","6334.196"
"Ireland","2074","Lower 80 PI","5277.524"
"Ireland","2074","Upper 95 PI","6662.786"
"Ireland","2074","Lower 95 PI","4969.275"
"Ireland","2073","Medium","5767.581"
"Ireland","2073","High","6832.467"
"Ireland","2073","Low","4831.526"
"Ireland","2073","Constant fertility","5854.266"
"Ireland","2073","Instant replacement","6558.341"
"Ireland","2073","Zero migration","5032.779"
"Ireland","2073","Constant mortality","5394.083"
"Ireland","2073","No change","5480.35"
"Ireland","2073","Momentum","5404.37"
"Ireland","2073","Instant replacement zero migration","5761.288"
"Ireland","2073","Median PI","5767.581"
"Ireland","2073","Upper 80 PI","6319.448"
"Ireland","2073","Lower 80 PI","5287.297"
"Ireland","2073","Upper 95 PI","6631.813"
"Ireland","2073","Lower 95 PI","4991.539"
"Ireland","2072","Medium","5769.649"
"Ireland","2072","High","6799.979"
"Ireland","2072","Low","4859.523"
"Ireland","2072","Constant fertility","5853.068"
"Ireland","2072","Instant replacement","6536.601"
"Ireland","2072","Zero migration","5051.627"
"Ireland","2072","Constant mortality","5402.913"
"Ireland","2072","No change","5485.943"
"Ireland","2072","Momentum","5407.703"
"Ireland","2072","Instant replacement zero migration","5759.094"
"Ireland","2072","Median PI","5769.648"
"Ireland","2072","Upper 80 PI","6305.546"
"Ireland","2072","Lower 80 PI","5299.156"
"Ireland","2072","Upper 95 PI","6607.989"
"Ireland","2072","Lower 95 PI","5015.718"
"Ireland","2071","Medium","5772.056"
"Ireland","2071","High","6768.145"
"Ireland","2071","Low","4887.694"
"Ireland","2071","Constant fertility","5852.164"
"Ireland","2071","Instant replacement","6515.293"
"Ireland","2071","Zero migration","5070.781"
"Ireland","2071","Constant mortality","5412.322"
"Ireland","2071","No change","5492.074"
"Ireland","2071","Momentum","5411.716"
"Ireland","2071","Instant replacement zero migration","5757.271"
"Ireland","2071","Median PI","5772.056"
"Ireland","2071","Upper 80 PI","6294.239"
"Ireland","2071","Lower 80 PI","5312.567"
"Ireland","2071","Upper 95 PI","6591.111"
"Ireland","2071","Lower 95 PI","5042.847"
"Ireland","2070","Medium","5774.754"
"Ireland","2070","High","6736.966"
"Ireland","2070","Low","4915.947"
"Ireland","2070","Constant fertility","5851.478"
"Ireland","2070","Instant replacement","6494.355"
"Ireland","2070","Zero migration","5090.181"
"Ireland","2070","Constant mortality","5422.324"
"Ireland","2070","No change","5498.727"
"Ireland","2070","Momentum","5416.372"
"Ireland","2070","Instant replacement zero migration","5755.722"
"Ireland","2070","Median PI","5774.754"
"Ireland","2070","Upper 80 PI","6280.37"
"Ireland","2070","Lower 80 PI","5326.373"
"Ireland","2070","Upper 95 PI","6567.201"
"Ireland","2070","Lower 95 PI","5064.262"
"Ireland","2069","Medium","5777.597"
"Ireland","2069","High","6706.336"
"Ireland","2069","Low","4944.123"
"Ireland","2069","Constant fertility","5850.949"
"Ireland","2069","Instant replacement","6473.726"
"Ireland","2069","Zero migration","5109.686"
"Ireland","2069","Constant mortality","5432.805"
"Ireland","2069","No change","5505.858"
"Ireland","2069","Momentum","5421.614"
"Ireland","2069","Instant replacement zero migration","5754.364"
"Ireland","2069","Median PI","5777.597"
"Ireland","2069","Upper 80 PI","6265.677"
"Ireland","2069","Lower 80 PI","5341.898"
"Ireland","2069","Upper 95 PI","6539.357"
"Ireland","2069","Lower 95 PI","5086.573"
"Ireland","2068","Medium","5780.333"
"Ireland","2068","High","6676.029"
"Ireland","2068","Low","4971.953"
"Ireland","2068","Constant fertility","5850.447"
"Ireland","2068","Instant replacement","6453.27"
"Ireland","2068","Zero migration","5129.052"
"Ireland","2068","Constant mortality","5443.579"
"Ireland","2068","No change","5513.413"
"Ireland","2068","Momentum","5427.368"
"Ireland","2068","Instant replacement zero migration","5753.06"
"Ireland","2068","Median PI","5780.333"
"Ireland","2068","Upper 80 PI","6254.504"
"Ireland","2068","Lower 80 PI","5356.771"
"Ireland","2068","Upper 95 PI","6518.83"
